"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"TOTAL (ALL-INDIA)","2002",246,442,501,2825,7077,18442,69252,68785,210857,47039,883505,1308971
"ANDHRA PRADESH","2003",15,22,26,133,257,903,3203,2808,12103,0,54529,73999
"ARUNACHAL PRADESH","2003",1,1,3,22,55,62,354,157,667,169,4229,5720
"ASSAM","2003",7,11,16,184,270,722,3310,1809,5853,3301,36566,52049
"BIHAR","2003",9,19,29,68,340,670,4964,3894,6737,0,35779,52509
"CHHATTISGARH","2003",9,9,15,80,155,299,818,1119,3427,658,13883,20472
"GOA","2003",1,0,1,11,21,45,92,137,699,0,2698,3705
"GUJARAT","2003",18,18,16,65,217,765,1883,7448,10100,0,37067,57597
"HARYANA","2003",10,20,8,43,127,375,950,2338,6151,0,20095,30117
"HIMACHAL PRADESH","2003",15,6,14,37,125,192,530,786,2205,0,8231,12141
"JAMMU & KASHMIR","2003",4,14,21,161,369,679,2097,3006,9940,0,42746,59037
"JHARKHAND","2003",0,0,0,25,71,164,1686,1172,2233,804,14837,20992
"KARNATAKA","2003",2,5,4,66,178,637,1647,2668,11250,0,35642,52099
"KERALA","2003",5,6,12,67,288,416,1651,1702,8513,0,31619,44279
"MADHYA PRADESH","2003",22,33,29,93,533,888,2343,3124,10479,0,43480,61024
"MAHARASHTRA","2003",12,25,31,188,426,2446,7193,12465,28635,22507,65445,139373
"MANIPUR","2003",3,5,7,49,102,212,574,391,1020,611,10714,13688
"MEGHALAYA","2003",5,1,6,34,28,120,435,473,716,300,6565,8683
"MIZORAM","2003",1,1,4,48,55,143,392,355,1356,495,4260,7110
"NAGALAND","2003",4,7,11,51,51,65,352,197,945,1245,8839,11767
"ODISHA","2003",7,10,17,137,216,579,2031,2556,3663,580,25466,35262
"PUNJAB","2003",14,20,18,167,387,554,1832,3943,11060,0,50247,68242
"RAJASTHAN","2003",14,15,5,243,381,757,2795,2944,8291,0,48627,64072
"SIKKIM","2003",2,7,9,16,33,56,136,147,291,371,2043,3111
"TAMIL NADU","2003",25,23,29,209,503,2492,5269,0,12834,7821,51013,80218
"TRIPURA","2003",2,5,10,42,148,141,787,483,924,1189,13149,16880
"UTTAR PRADESH","2003",25,54,54,252,1005,1338,12357,0,23596,0,118019,156700
"UTTARAKHAND","2003",7,3,7,17,39,65,672,0,1848,570,9846,13074
"TOTAL (STATES)","2003",239,340,402,2508,6380,15785,60353,56122,185536,40621,795634,1163920
"WEST BENGAL","2003",19,39,27,95,336,1258,6467,7324,4417,3477,59503,82962
"A & N ISLANDS","2003",0,1,1,2,13,37,131,196,491,0,1813,2685
"CHANDIGARH","2003",0,1,0,4,11,50,248,185,842,0,2582,3923
"D & N HAVELI","2003",0,0,0,0,1,1,13,3,51,0,147,216
"DAMAN & DIU","2003",0,0,0,1,2,4,9,11,41,0,180,248
"DELHI","2003",4,17,6,63,242,1009,3725,5037,13299,0,31658,55060
"LAKSHADWEEP","2003",0,0,0,1,1,5,17,23,64,0,213,324
"PUDUCHERRY","2003",0,1,0,2,19,47,123,101,310,0,1575,2178
"TOTAL (UTs)","2003",4,20,7,73,289,1153,4266,5556,15098,0,38168,64634
"TOTAL (ALL-INDIA)","2003",23,59,34,168,625,2411,10733,12880,19515,3477,97671,147596
"ANDHRA PRADESH","2004",21,18,27,154,346,1137,3511,2969,13072,0,56595,77850
"ARUNACHAL PRADESH","2004",1,1,3,22,55,62,354,157,667,169,4229,5720
"ASSAM","2004",7,11,16,184,270,722,3310,1809,5853,3301,36566,52049
"BIHAR","2004",9,20,17,48,156,545,4055,3860,6579,0,34301,49590
"CHHATTISGARH","2004",1,5,3,39,125,232,780,1117,3395,5505,9148,20350
"GOA","2004",1,0,1,7,21,39,79,137,654,0,2601,3540
"GUJARAT","2004",18,18,16,65,217,765,1883,7448,10100,0,37067,57597
"HARYANA","2004",10,23,10,60,127,423,1337,3090,5068,0,28278,38426
