STATE/UT,YEAR,GENDER,Upto 10 years,10-15 years,15-18 years,18-30 years,30-50 years,Above 50 years,Total
Uttarakhand,2012,Total,3,1,7,120,55,31,217
Meghalaya,2012,Male,0,0,0,80,45,13,138
Meghalaya,2012,Female,0,0,0,3,0,1,4
Meghalaya,2012,Total,0,0,0,83,45,14,142
Bihar,2012,Male,11,17,47,1509,1059,175,2818
Bihar,2012,Female,12,15,33,486,213,27,786
Bihar,2012,Total,23,32,80,1995,1272,202,3604
Sikkim,2012,Male,0,0,0,3,0,0,3
Sikkim,2012,Female,0,1,2,0,1,0,4
Sikkim,2012,Total,0,1,2,3,1,0,7
Delhi UT,2012,Male,10,6,14,195,152,32,409
Delhi UT,2012,Female,6,1,8,68,32,16,131
Delhi UT,2012,Total,16,7,22,263,184,48,540
Arunachal Pradesh,2012,Male,0,0,0,42,21,0,63
Arunachal Pradesh,2012,Female,0,0,0,7,3,0,10
Arunachal Pradesh,2012,Total,0,0,0,49,24,0,73
Jammu & Kashmir,2012,Male,2,0,0,32,66,5,105
Jammu & Kashmir,2012,Female,1,0,0,12,13,1,27
Jammu & Kashmir,2012,Total,3,0,0,44,79,6,132
Odisha,2012,Male,4,4,7,400,463,87,965
Odisha,2012,Female,7,5,8,344,235,32,631
Odisha,2012,Total,11,9,15,744,698,119,1596
Uttar Pradesh,2012,Male,66,72,138,1762,1516,400,3954
Uttar Pradesh,2012,Female,48,61,90,447,349,93,1088
Uttar Pradesh,2012,Total,114,133,228,2209,1865,493,5042
Chhattisgarh,2012,Male,15,15,20,202,318,113,683
Chhattisgarh,2012,Female,11,14,12,120,113,46,316
Chhattisgarh,2012,Total,26,29,32,322,431,159,999
Haryana,2012,Male,7,5,17,330,388,78,825
Haryana,2012,Female,10,2,6,90,75,15,198
Haryana,2012,Total,17,7,23,420,463,93,1023
Jharkhand,2012,Male,0,4,47,767,626,71,1515
Jharkhand,2012,Female,1,0,7,123,89,7,227
Jharkhand,2012,Total,1,4,54,890,715,78,1742
West Bengal,2012,Male,1,9,23,861,522,263,1679
West Bengal,2012,Female,0,2,11,301,202,57,573
West Bengal,2012,Total,1,11,34,1162,724,320,2252
Tripura,2012,Male,2,0,0,32,53,14,101
Tripura,2012,Female,0,0,0,15,7,1,23
Tripura,2012,Total,2,0,0,47,60,15,124
