STATE/UT,YEAR,GENDER,Upto 10 years,10-15 years,15-18 years,18-30 years,30-50 years,Above 50 years,Total
Goa,2011,Male,0,1,0,15,17,5,38
West Bengal,2011,Male,6,4,25,703,650,49,1437
Assam,2011,Male,0,0,8,741,411,48,1208
Bihar,2011,Male,18,26,40,1322,1033,155,2594
Odisha,2011,Male,4,0,9,356,553,60,982
Uttar Pradesh,2011,Male,52,49,70,2149,1363,308,3991
Nagaland,2011,Male,0,0,3,9,21,8,41
Jharkhand,2011,Male,0,1,28,917,521,79,1546
Haryana,2011,Male,2,3,6,402,428,84,925
Tripura,2011,Male,12,0,0,27,49,11,99
A&N Islands,2011,Female,0,0,0,5,3,1,9
Chandigarh,2011,Female,0,0,2,1,2,0,5
Sikkim,2011,Female,0,0,0,1,4,0,5
Maharashtra,2011,Female,63,18,21,538,292,102,1034
Mizoram,2011,Female,0,0,0,1,7,1,9
Himachal Pradesh,2011,Female,3,1,2,12,7,7,32
Tamil Nadu,2011,Female,49,3,19,233,220,101,625
Andhra Pradesh,2011,Female,21,9,24,434,369,116,973
Punjab,2011,Female,7,2,0,113,103,18,243
Gujarat,2011,Female,31,1,3,144,106,33,318
D&N Haveli,2011,Female,0,0,0,2,0,0,2
Lakshadweep,2011,Female,0,0,0,0,0,0,0
Rajasthan,2011,Female,13,6,10,140,119,44,332
Manipur,2011,Female,1,1,0,5,5,1,13
Bihar,2011,Female,10,9,21,390,157,17,604
Odisha,2011,Female,3,1,1,254,208,28,495
Uttar Pradesh,2011,Female,44,44,67,511,299,75,1040
Nagaland,2011,Female,0,1,1,2,2,0,6
Jharkhand,2011,Female,0,0,3,140,99,13,255
Haryana,2011,Female,3,1,1,80,88,27,200
Tripura,2011,Female,1,0,0,47,15,1,64
A&N Islands,2011,Total,0,1,0,6,5,3,15
Chandigarh,2011,Total,0,0,3,12,9,1,25
Sikkim,2011,Total,0,0,0,3,9,2,14
Maharashtra,2011,Total,141,34,51,1223,1118,354,2921
Mizoram,2011,Total,0,1,0,3,19,3,26
Himachal Pradesh,2011,Total,5,2,2,42,62,22,135
Tamil Nadu,2011,Total,90,12,34,673,830,301,1940
Maharashtra,2012,Male,67,22,27,653,792,248,1809
Maharashtra,2012,Female,92,17,13,493,311,87,1013
Maharashtra,2012,Total,159,39,40,1146,1103,335,2822
Punjab,2012,Male,14,13,12,249,273,84,645
Punjab,2012,Female,8,3,4,90,109,30,244
Punjab,2012,Total,22,16,16,339,382,114,889
Chandigarh,2012,Male,1,0,1,9,3,1,15
Chandigarh,2012,Female,0,0,1,0,5,0,6
Chandigarh,2012,Total,1,0,2,9,8,1,21
Kerala,2012,Male,14,5,2,61,127,60,269
Kerala,2012,Female,15,8,2,21,47,27,120
Kerala,2012,Total,29,13,4,82,174,87,389
Andhra Pradesh,2012,Male,18,10,22,519,830,247,1646
Andhra Pradesh,2012,Female,40,12,16,419,476,116,1079
Andhra Pradesh,2012,Total,58,22,38,938,1306,363,2725
Gujarat,2012,Male,18,6,4,348,338,131,845
Gujarat,2012,Female,37,1,2,123,122,21,306
Gujarat,2012,Total,55,7,6,471,460,152,1151
Manipur,2012,Male,1,0,1,16,56,11,85
Manipur,2012,Female,1,1,2,2,9,1,16
Manipur,2012,Total,2,1,3,18,65,12,101
Mizoram,2012,Male,0,0,0,9,14,4,27
Mizoram,2012,Female,1,0,0,0,1,1,3
Mizoram,2012,Total,1,0,0,9,15,5,30
Karnataka,2012,Male,33,13,20,403,534,153,1156
Karnataka,2012,Female,42,7,20,315,318,62,764
Karnataka,2012,Total,75,20,40,718,852,215,1920
Rajasthan,2012,Male,12,5,13,445,486,107,1068
Rajasthan,2012,Female,12,7,6,187,140,41,393
Rajasthan,2012,Total,24,12,19,632,626,148,1461
Lakshadweep,2012,Male,0,0,0,0,0,0,0
Lakshadweep,2012,Female,0,0,0,0,0,0,0
Lakshadweep,2012,Total,0,0,0,0,0,0,0
Himachal Pradesh,2012,Male,2,3,4,31,38,8,86
Himachal Pradesh,2012,Female,2,2,0,14,8,1,27
Himachal Pradesh,2012,Total,4,5,4,45,46,9,113
A&N Islands,2012,Male,1,0,0,3,4,2,10
A&N Islands,2012,Female,1,0,0,3,2,1,7
A&N Islands,2012,Total,2,0,0,6,6,3,17
Tamil Nadu,2012,Male,26,11,15,396,664,286,1398
Tamil Nadu,2012,Female,33,11,11,198,243,126,622
Tamil Nadu,2012,Total,59,22,26,594,907,412,2020
Madhya Pradesh,2012,Male,35,22,33,719,723,246,1778
Madhya Pradesh,2012,Female,32,8,16,288,238,71,653
Madhya Pradesh,2012,Total,67,30,49,1007,961,317,2431
Goa,2012,Male,2,0,0,9,9,9,29
Goa,2012,Female,0,1,0,4,9,4,18
Goa,2012,Total,2,1,0,13,18,13,47
Nagaland,2012,Male,0,1,2,43,28,5,79
Nagaland,2012,Female,1,0,1,1,1,0,4
Nagaland,2012,Total,1,1,3,44,29,5,83
Puducherry,2012,Male,0,0,0,5,13,4,22
Puducherry,2012,Female,0,0,0,2,4,2,8
Puducherry,2012,Total,0,0,0,7,17,6,30
Daman & Diu,2012,Male,1,0,0,1,1,0,3
Daman & Diu,2012,Female,0,0,0,1,0,0,1
Daman & Diu,2012,Total,1,0,0,2,1,0,4
Assam,2012,Male,0,0,15,736,489,51,1291
Assam,2012,Female,0,0,0,56,21,0,77
Assam,2012,Total,0,0,15,792,510,51,1368
D&N Haveli,2012,Male,0,1,0,3,1,0,5
D&N Haveli,2012,Female,0,0,0,1,1,0,2
D&N Haveli,2012,Total,0,1,0,4,2,0,7
Uttarakhand,2012,Male,1,0,6,68,43,23,141
Uttarakhand,2012,Female,2,1,1,52,12,8,76
